,Are you a member of OHBM?,What geographic region are you currently located in?,What is your current career status?,"Which of the following platforms do you use to access OHBM content? When applicable, a direct link to the platform is provided next to each option. Please check all options that apply.",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,How would you describe your access to the OHBM job board?,How would you describe the content on the OHBM job board?,How would you describe your access to emails from OHBM?,How would you describe the content in OHBM emails?,How would you describe your access to the OHBM blog?,How would you describe the content in the OHBM blog?,How would you describe your access to OHBM Twitter?,How would you describe the content on OHBM Twitter?,How would you describe your access to the NeuroSalience podcast?,How would you describe the content in the NeuroSalience podcast?,How would you describe your access to OHBM Facebook?,How would you describe the content in OHBM Facebook?,How would you describe your access to OHBM YouTube?,How would you describe the content in OHBM YouTube?,How would you describe your access to OHBM LinkedIn?,How would you describe the content in OHBM LinkedIn?,How would you describe your access to the OHBM OnDemand?,How would you describe the content in OHBM OnDemand?,"Do you currently follow any of the following OHBM Special Interest Groups (SIG) platforms? When applicable, a direct link to the platform is provided next to each option. Please check all options that apply.",Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,How important is each of these types of content to you?,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
172,Yes,North America (Including Canada and Mexico),Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I didn't know OHBM had a job board,,,I don’t know / NA,,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,,Tutorials on different topics related to human brain mapping,,
173,No,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
174,No,North America (Including Canada and Mexico),Research staff,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,,,,,,,,
175,Yes,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I look at the OHBM job board ocassionally,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,"I use LinkedIn and know about the OHBM LinkedIn page, but I don’t follow the page",I don’t know / NA,I know about OnDemand and occasionally access the content,It is somewhat relevant,,,,,,,,,Information on the annual meeting,,,,,,Controversial topics in the field,Exciting new science or developments in the brain mapping field
176,Yes,North America (Including Canada and Mexico),Postdoctoral researcher,,Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,"I know about the podcast, but I don’t listen to it",It is not relevant to me,I don’t use Facebook / NA,I don’t know / NA,"I use YouTube and know about the OHBM YouTube channel, but I don’t subscribe to the channel",I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,,,Exciting new science or developments in the brain mapping field
177,Yes,Europe,Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),Twitter (https://twitter.com/OHBM),,,,,OHBM OnDemand (https://www.pathlms.com/ohbm),,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I always read them,It is very relevant throughout the year,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I know about OnDemand and occasionally access the content,It is somewhat relevant,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,Sustainability Twitter (https://twitter.com/OhbmEnvironment),Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,,,,Exciting new science or developments in the brain mapping field
178,Yes,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",,Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is somewhat relevant,"I know about the blog, but I don’t read it",I don’t know / NA,"I use Twitter and know about OHBM Twitter, but I don’t follow the account",I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,,Controversial topics in the field,Exciting new science or developments in the brain mapping field
179,No,North America (Including Canada and Mexico),Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,,
180,Yes,North America (Including Canada and Mexico),Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is very relevant throughout the year,I know about the podcast and occasionally listen to the episodes,It is very relevant throughout the year,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,Open Science Twitter (https://twitter.com/OhbmOpen),,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
181,Yes,Europe,"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I look at the OHBM job board ocassionally,Postings are not relevant to me,I get emails from OHBM and I always read them,It is very relevant throughout the year,"I know about the blog, but I don’t read it",I don’t know / NA,I use Twitter but didn’t know that the OHBM Twitter account exists,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I know about OnDemand and occasionally access the content,It is somewhat relevant,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,,,,
182,No,North America (Including Canada and Mexico),Research staff,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I didn't know OHBM had a job board,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,,,
183,Yes,North America (Including Canada and Mexico),Postdoctoral researcher,,,,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I don't get emails from OHBM,I don’t know / NA,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,"I know about the podcast, but I don’t listen to it",It is not relevant to me,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,It is not relevant to me,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
184,No,North America (Including Canada and Mexico),"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",,Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I use Twitter but didn’t know that the OHBM Twitter account exists,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,,,,,,Tutorials on different topics related to human brain mapping,,
185,Yes,Europe,"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I know about the OHBM job board but I don't use it,Postings are relevant when related to the Annual Meeting,I get emails from OHBM and I always read them,It is very relevant throughout the year,"I know about the blog, but I don’t read it",I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,,,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,,
186,Yes,Europe,Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),Twitter (https://twitter.com/OHBM),,,,,,,I look at the OHBM job board ocassionally,Postings are very relevant throughout the year,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is somewhat relevant,I don’t use Twitter / NA,It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I know about OnDemand and occasionally access the content,It is very relevant throughout the year,,,,Student-Postdoc Blog (https://www.ohbmtrainees.com/sig-blog),,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
187,No,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I use Twitter but didn’t know that the OHBM Twitter account exists,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",,,,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
188,Yes,Asia,"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),,,,,Facebook (https://www.facebook.com/humanbrainmapping.org),,,,,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I occasionally read them,It is somewhat relevant,"I know about the blog, but I don’t read it",I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,"I use Facebook, follow/like the page, and occasionally see their posts",It is very relevant throughout the year,I don’t use YouTube / NA,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I know about OnDemand and regularly access the content,It is very relevant throughout the year,,,,,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,,,Controversial topics in the field,Exciting new science or developments in the brain mapping field
189,Yes,Europe,"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,OHBM Job Board,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is very relevant throughout the year,"I know about the blog, but I don’t read it",I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,"I use LinkedIn and know about the OHBM LinkedIn page, but I don’t follow the page",I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,Reviews on OHBM activities,,Tutorials on different topics related to human brain mapping,,
190,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I always read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is very relevant throughout the year,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,Reviews on OHBM activities,,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
191,Yes,Europe,Research staff,,Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I look at the OHBM job board ocassionally,Postings are relevant when related to the Annual Meeting,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,I know about the blog and occasionally read the posts,It is somewhat relevant,I use Twitter but didn’t know that the OHBM Twitter account exists,It is not relevant to me,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,It is not relevant to me,I don’t know what OnDemand is,It is not relevant to me,,,,,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,,,,
192,Yes,Europe,Doctoral student,,,,,,,,,,,I didn't know OHBM had a job board,Postings are relevant when related to the Annual Meeting,I get emails from OHBM and I occasionally read them,I don’t know / NA,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,,,,Information on the annual meeting,,,,,,,
193,Yes,Europe,Research staff,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,,,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,,
194,Yes,Europe,Postdoctoral researcher,,Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,OHBM OnDemand (https://www.pathlms.com/ohbm),,I look at the OHBM job board ocassionally,Postings are very relevant throughout the year,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,"I use YouTube and know about the OHBM YouTube channel, but I don’t subscribe to the channel",It is somewhat relevant,I don’t use LinkedIn / NA,I don’t know / NA,I know about OnDemand and occasionally access the content,It is very relevant throughout the year,,,,,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,,,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,,
195,No,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I didn't know OHBM had a job board,Postings are very relevant throughout the year,I get emails from OHBM and I always read them,It is very relevant throughout the year,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
196,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I didn't know OHBM had a job board,Postings are relevant when related to the Annual Meeting,I get emails from OHBM and I always read them,It is very relevant only when related to the annual meeting,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,,
197,Yes,Europe,"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I know about the OHBM job board but I don't use it,,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is very relevant throughout the year,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",,,Interviews with human brain mappers,,Controversial topics in the field,Exciting new science or developments in the brain mapping field
198,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I always read them,It is very relevant throughout the year,I didn't know that OHBM had a blog,,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
199,Yes,Europe,Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,,,,,,,,
200,Yes,Asia,"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),,,,,,,,,,I know about the OHBM job board but I don't use it,Postings are not relevant to me,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,,,,,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,,,,
201,Yes,Oceania (Australia and New Zealand),Doctoral student,,Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I always read them,It is somewhat relevant,I didn't know that OHBM had a blog,,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,,I use Facebook but didn’t know that the OHBM Facebook page exists,,I use YouTube but didn’t know that the OHBM YouTube channel exists,,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,,I don’t know what OnDemand is,,,,,,,,,,,,Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
202,Yes,Europe,Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I look at the OHBM job board ocassionally,Postings are very relevant throughout the year,I get emails from OHBM and I occasionally read them,It is very relevant throughout the year,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,
203,Yes,Europe,Research staff,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),Twitter (https://twitter.com/OHBM),NeuroSalience podcast (https://anchor.fm/ohbm),,Youtube (https://www.youtube.com/channel/UCwMM4wEFi_hx2_6wVVoPBJA),,OHBM OnDemand (https://www.pathlms.com/ohbm),,I didn't know OHBM had a job board,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is very relevant throughout the year,I know about the blog and occasionally read the posts,It is very relevant throughout the year,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is very relevant throughout the year,I know about the podcast and regularly listen to the episodes,It is very relevant throughout the year,I don’t use Facebook / NA,I don’t know / NA,"I use YouTube, subscribe to the channel, and occasionally watch their content",I usually ignore it,"I use LinkedIn and know about the OHBM LinkedIn page, but I don’t follow the page",I don’t know / NA,I know about OnDemand and occasionally access the content,It is very relevant throughout the year,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,,Interviews with human brain mappers,,,Exciting new science or developments in the brain mapping field
